,Departure,Arrival,Distance,Flights,Total Distance
1,深圳,北京,2077,222,461094
2,北京,深圳,2077,215,446555
3,哈尔滨,深圳,3034,140,424760
4,成都,上海,1782,232,413424
5,重庆,北京,1640,252,413280
6,深圳,上海,1343,305,409615
7,重庆,上海,1537,261,401157
8,上海,深圳,1343,297,398871
9,昆明,上海,2042,189,385938
10,上海,成都,1782,206,367092
11,北京,昆明,2266,150,339900
12,深圳,哈尔滨,3034,112,339808
13,西安,广州,1528,216,330048
14,上海,西安,1351,243,328293
15,三亚,哈尔滨,3920,80,313600
16,北京,重庆,1640,191,313240
17,乌鲁木齐,北京,2842,110,312620
18,上海,昆明,2042,152,310384
19,哈尔滨,三亚,3920,79,309680
20,西安,上海,1351,227,306677
21,杭州,成都,1699,179,304121
22,重庆,深圳,1290,233,300570
23,成都,杭州,1699,175,297325
24,乌鲁木齐,郑州,2747,106,291182
25,广州,西安,1528,188,287264
26,哈尔滨,上海,1854,154,285516
27,北京,乌鲁木齐,2842,100,284200
28,上海,哈尔滨,1854,152,281808
29,沈阳,三亚,3425,81,277425
30,乌鲁木齐,广州,3836,69,264684
31,贵阳,北京,2039,126,256914
32,乌鲁木齐,杭州,3653,70,255710
33,广州,重庆,1188,215,255420
34,昆明,北京,2266,111,251526
35,重庆,广州,1188,210,249480
36,北京,西安,1034,241,249194
37,广州,上海,1308,189,247212
38,深圳,重庆,1290,191,246390
39,深圳,西安,1635,150,245250
40,北京,贵阳,2039,119,242641
41,上海,乌鲁木齐,3649,66,240834
42,乌鲁木齐,上海,3649,66,240834
43,西安,深圳,1635,147,240345
44,北京,三亚,2710,87,235770
45,海口,北京,2493,94,234342
46,三亚,长春,3700,63,233100
47,深圳,沈阳,2671,87,232377
48,长春,重庆,2463,94,231522
49,重庆,长春,2463,94,231522
50,广州,乌鲁木齐,3836,60,230160
51,长春,三亚,3700,62,229400
52,北京,武汉,1133,202,228866
53,哈尔滨,北京,1010,219,221190
54,昆明,长春,3300,67,221100
55,厦门,西安,1932,114,220248
56,北京,杭州,1200,183,219600
57,西安,北京,1000,219,219000
58,成都,广州,1390,157,218230
59,北京,哈尔滨,1010,216,218160
60,上海,大连,1051,207,217557
61,济南,深圳,1828,119,217532
62,深圳,济南,1828,119,217532
63,深圳,天津,2021,107,216247
64,广州,成都,1390,155,215450
65,深圳,郑州,1465,147,215355
66,昆明,杭州,2089,103,215167
67,北京,广州,1967,109,214403
68,三亚,郑州,2120,100,212000
69,郑州,海口,1873,113,211649
70,郑州,乌鲁木齐,2747,77,211519
71,南京,昆明,1870,113,211310
72,昆明,广州,1357,155,210335
73,天津,深圳,2021,104,210184
74,大连,广州,2285,91,207935
75,长春,昆明,3300,63,207900
76,广州,北京,1967,105,206535
77,武汉,北京,1133,182,206206
78,海口,郑州,1873,110,206030
79,西安,厦门,1932,106,204792
80,昆明,南京,1870,109,203830
81,广州,沈阳,2672,76,203072
82,沈阳,广州,2672,76,203072
83,郑州,三亚,2120,94,199280
84,上海,重庆,1537,129,198273
85,三亚,北京,2710,73,197830
86,大连,上海,1051,187,196537
87,哈尔滨,广州,3119,63,196497
88,成都,乌鲁木齐,2258,87,196446
89,沈阳,深圳,2671,73,194983
90,昆明,厦门,1680,116,194880
91,杭州,乌鲁木齐,3653,53,193609
92,郑州,深圳,1465,132,193380
93,杭州,北京,1200,160,192000
94,乌鲁木齐,成都,2258,84,189672
95,南京,广州,1255,151,189505
96,天津,广州,1910,99,189090
97,上海,三亚,2050,92,188600
98,西安,乌鲁木齐,2306,81,186786
99,郑州,广州,1389,134,186126
100,杭州,昆明,2089,89,185921
101,广州,昆明,1357,137,185909
102,成都,深圳,1446,127,183642
103,上海,长春,1698,108,183384
104,上海,广州,1308,140,183120
105,北京,厦门,1774,103,182722
